snapshot_idx,interface,frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
5,s0cl0,1767117209.918367000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117209.918411000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117213.018919000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117213.018977000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117216.118002000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117216.118049000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117219.218375000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117219.218431000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117222.318647000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117222.318773000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117225.418677000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117225.418767000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117228.518805000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117228.518896000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117231.618897000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117231.619010000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117234.718812000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117234.718860000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117237.818839000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117237.818887000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117240.918677000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117240.918783000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117244.018862000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117244.018908000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117247.118760000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117247.118819000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117250.218693000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117250.218786000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117253.319349000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117253.319450000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117256.418858000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117256.418934000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117259.518220000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117259.518263000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117262.618192000,137,,,,,LLDP,,,,,,,,
5,s0cl0,1767117262.618251000,137,,,,,LLDP,,,,,,,,
